



Nombre;Sector;Palabras clave:;Fecha de incorporación al catálogo:;Fecha de actualización:;Fecha de obtención de datos desde:;Fecha de obtención de datos hasta:;Frecuencia de actualización:;Responsable del conjunto de datos:;Editor:;Licencia:;Lugar:;Formatos;Descargas;URL
Proyecto de investigación de acompañamiento social;sociedad-bienestar;Investigación de Inclusión Social, Investigación en colaboración con el Ministerio de Inclusión social, Familias Vulnerables con menores a cargo.;22/05/2024;24/05/2024;;;informacionhistorica;Dirección General de Servicios Sociales y Atención a la Discapacidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;42;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7dbf4892cc59f810VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de las personas usuarias de los museos y exposiciones municipales;cultura-ocio;servicios públicos, sondeos, encuestas, cultura;17/05/2024;23/05/2024;;31/12/2023;anual;Dirección General de Bibliotecas, Archivos y Museos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;20;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=e43a85f3be58f810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Deportes. Listas de espera de las clases de actividad dirigida en Centros Deportivos Municipales;deporte;clases deportivas, actividades deportivas, polideportivos CDM, clases en Centros Deportivos Municipales.;20/05/2024;20/05/2024;;;trimestral;Dirección General de Deporte;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;30;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=521e319a0e08f810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Madrid Salud. Personas en tratamiento en los centros de atención a las adicciones (CAD);salud;tratamiento, adicciones, distritos, CAD, centros, reingresos;29/04/2024;14/05/2024;;31/03/2024;anual;Gerencia de Madrid Salud;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;322;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=31754898f592f810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Planes de formación del Centro Integral de Formación de Seguridad y Emergencias (CIFSE);seguridad;Samur, Proteccion Civil, Movilidad, Policía Municipal, Bomberos, formacion, CIFSE;07/05/2024;19/04/2024;;;anual;Coordinación General de Seguridad y Emergencias;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,xml,;161;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=6fdfb9a5742fe810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de Satisfacción con el Programa de Escuelas Municipales de Promoción Deportiva en centros escolares;deporte;escuelas, deporte escolar, promoción;11/04/2024;15/04/2024;;;anual;Dirección General de Deporte;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;46;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=23c3cd56a4cce810VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Parque Tecnológico de Valdemingómez (PTV): biogás y biometano generado a partir de los residuos;medio-ambiente;Residuos, reciclaje, Valdemingómez, tratamiento, gestión residuos, biogás, biometano, Biometanización las Dehesas, Biometanización la Paloma, Planta de Tratamiento de Biogás.;12/03/2024;25/04/2024;;31/03/2024;semestral;Dirección General Parque Tecnológico de Valdemingómez;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;107;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=ad54d4b93923e810VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Parque Tecnológico de Valdemingómez (PTV): energía eléctrica generada a partir de los residuos;medio-ambiente;;12/03/2024;25/04/2024;;31/03/2024;trimestral;Dirección General del Parque Tecnológico de Valdemingómez;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;103;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=2ec957f20923e810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Parque Tecnológico de Valdemingómez (PTV): recuperación de materiales;medio-ambiente;residuos, reciclaje, Valdemingómez, tratamiento, gestión residuos, restos, plásticos, metales, briks, biorresiduos, papel-cartón, vidrio, compost, bioestabilizado;12/03/2024;25/04/2024;;31/03/2024;trimestral;Dirección General del Parque Tecnológico de Valdemingómez;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;318;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=926300d72623e810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Parque Tecnológico de Valdemingómez (PTV): entradas de residuos;medio-ambiente;residuos, reciclaje, Valdemingómez, tratamiento, gestión residuos, restos, plásticos, metales, briks, biorresiduos, poda, vidrio, compost, voluminosos, vertido directo, Las Dehesas, La Paloma, Las Lomas, planta de Biometanización de las Dehesas, particulares, zonas verdes, limpieza espacios públicos, parques y jardines, recogida domiciliaria, actividades económicas, ciudadanos, distritos ciudad Madrid;12/03/2024;25/04/2024;;31/03/2024;bimestral;Dirección General del Parque Tecnológico de Valdemingómez;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;65;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7688255b2a13e810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Encuesta de satisfacción de la ciudadanía con el servicio de información de calidad del aire y contaminación atmosférica a través del sitio https://airedemadrid.madrid.es;medio-ambiente;calidad, aire, contaminación, salud, airedemadrid, portal, encuesta, satisfacción;14/03/2024;11/03/2024;01/01/2023;31/12/2023;sindefinir;Dirección General de Sostenibilidad y Control Ambiental;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;66;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=8d3ae2b0b4d2e810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de Satisfacción de las personas usuarias del Servicio de los Agentes de Movilidad 2023;medio-ambiente;;11/03/2024;12/03/2024;01/01/2023;31/12/2023;sindefinir;Dirección General  de Gestión y Vigilancia de la Circulación;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;;129;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=4d4e4ac6d60dd810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de las personas usuarias de los Apartamentos  Municipales para Mayores;sociedad-bienestar;sondeos encuestas, apartamentos, mayores;04/03/2024;02/02/2024;;;sindefinir;Dirección General de Mayores y Prevención de la Soledad No Deseada;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;97;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=154a04c14396d810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Presupuestos. Presupuesto General 2024;sector-publico;Presupuesto general , 2024;17/01/2024;11/03/2024;;;sindefinir;Dirección General de Presupuestos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;792;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=09506692c611d810VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Piscinas de comunidades de vecinos;economia;piscinas comunidades ;22/01/2024;18/01/2024;18/01/2024;18/01/2024;anual;Dirección General de Contratación y Servicios - Subdirección General de Estadística;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;186;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=ea9a2618683fc810VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
