Nombre,Sector,Palabras clave:,Fecha de incorporación al catálogo:,Fecha de actualización:,Fecha de obtención de datos desde:,Fecha de obtención de datos hasta:,Frecuencia de actualización:,Responsable del conjunto de datos:,Editor:,Licencia:,Lugar:,Formatos,Descargas,URL
Nacimientos clasificados por nacionalidad y sexo según Distrito y Barrio. 1 Enero 2022,demografia,"mapas, nacimientos, geoportal",2023-02-15,2023-02-13,,,anual,Dirección General de Contratación y Servicios - Subdirección General de Estadística,Ayuntamiento de Madrid,https://datos.madrid.es/egob/catalogo/aviso-legal,"Madrid,","shp,wms,",222,https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=15bb32e23f606810VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Defunciones clasificadas por nacionalidad y sexo según Distrito y Barrio. 1 Enero 2022,demografia,"mapas, defunciones, geoportal",2023-02-15,2023-02-13,,,anual,Dirección General de Contratación y Servicios - Subdirección General de Estadística,Ayuntamiento de Madrid,https://datos.madrid.es/egob/catalogo/aviso-legal,"Madrid,","shp,wms,",224,https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=f2d335dd7c206810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Cauces y arroyos del término municipal de Madrid,medio-ambiente,"mapas, cauces, arroyos, geoportal",2023-02-15,2023-02-13,,,sindefinir,Dirección General de Gestión del Agua y Zonas Verdes,Ayuntamiento de Madrid,https://datos.madrid.es/egob/catalogo/aviso-legal,"Madrid,","shp,wms,",259,https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=98fe35dd7c206810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Flora Urbana de Madrid,medio-ambiente,"mapas, flora, geoportal",2023-02-15,2023-02-13,,,sindefinir,Dirección General de Gestión del Agua y Zonas Verdes,Ayuntamiento de Madrid,https://datos.madrid.es/egob/catalogo/aviso-legal,"Madrid,","shp,wms,",77,https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=ecc72f68dbde5810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Inventario de instalaciones fotovoltaicas,energia,"energía, edificios municipales, placas solares",2020-11-18,2024-06-06,,2024-05-31,mensual,Dirección General de Sostenibilidad y Control Ambiental,Ayuntamiento de Madrid,https://datos.madrid.es/egob/catalogo/aviso-legal,"Madrid,","csv,xls,geo,",6251,https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=9dee450abcbb5710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
"Hogares por Tamaño, Composición del hogar, Nacionalidad y Sección Censal según Distrito (Explotación estadística)",demografia,"Demografía, mayores",2020-04-29,2020-05-14,2009-01-01,2020-01-01,anual,Dirección General de Contratación y Servicios - Subdirección General de Estadística,Ayuntamiento de Madrid,https://datos.madrid.es/egob/catalogo/aviso-legal,"Madrid,","xls,",9624,https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=88ef31e2af4c1710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
"Personas que viven solas por Edad según Distrito y Barrio, y por Sexo (Explotación estadística)",demografia,"Demografía, mayores",2020-04-05,2021-01-25,,,anual,Dirección General de Contratación y Servicios - Subdirección General de Estadística,Ayuntamiento de Madrid,https://datos.madrid.es/egob/catalogo/aviso-legal,"Madrid,","xls,",1977,https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=ac2fce1b0ef31710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Consumo de energía en edificios municipales. Datos mensuales,energia,"energía, edificios municipales, consumo, kWh, gas, electricidad, m3/h, kVAr",2020-04-16,2024-06-06,2020-01-03,2024-05-31,mensual,Dirección General de Sostenibilidad y Control Ambiental,Ayuntamiento de Madrid,https://datos.madrid.es/egob/catalogo/aviso-legal,"Madrid,","csv,xls,",4130,https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=d6fe4f894ef31710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
"Mercados Municipales: locales comerciales, nombres comerciales y actividades",comercio,"mercado comercio frutería carnicería puestos, actividad comercial",2014-11-07,2020-07-01,,2018-12-31,anual,"Dirección General de Comercio, Hostelería y Consumo",Ayuntamiento de Madrid,https://datos.madrid.es/egob/catalogo/aviso-legal,"Madrid,","csv,xls,",6070,https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=64905bfde8a89410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Edificios de carácter monumental,cultura-ocio,"monumentos, edificios artísticos, www.madrid.es",2014-09-26,2016-11-30,,,continua,Dirección General de Patrimonio Cultural,Ayuntamiento de Madrid,https://datos.madrid.es/egob/catalogo/aviso-legal,"Madrid,","csv,json,api,rdf,geo,xml,",63896,https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=69e30c658f6a8410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
