Year,Month,Irradiation (kWh/m²)
2005,1,15.71
2005,2,30.32
2005,3,72.54
2005,4,140.55
2005,5,143.79
2005,6,172.61
2005,7,144.57
2005,8,139.75
2005,9,107.87
2005,10,71.55
2005,11,27.4
2005,12,13.64
2006,1,24.99
2006,2,26.67
2006,3,63.26
2006,4,99.11
2006,5,154.22
2006,6,174.94
2006,7,208.46
2006,8,120.22
2006,9,112.4
2006,10,60.41
2006,11,27.12
2006,12,15.58
2007,1,18.92
2007,2,34.28
2007,3,88.28
2007,4,147.97
2007,5,166.79
2007,6,161.98
2007,7,145.85
2007,8,135.78
2007,9,88.0
2007,10,53.8
2007,11,20.93
2007,12,14.5
2008,1,18.21
2008,2,42.48
2008,3,73.47
2008,4,106.06
2008,5,183.92
2008,6,183.06
2008,7,146.84
2008,8,120.62
2008,9,85.41
2008,10,49.97
2008,11,18.18
2008,12,14.33
2009,1,19.88
2009,2,26.14
2009,3,65.47
2009,4,163.0
2009,5,158.19
2009,6,148.34
2009,7,162.49
2009,8,158.59
2009,9,111.02
2009,10,44.59
2009,11,25.89
2009,12,15.41
2010,1,22.18
2010,2,35.3
2010,3,76.25
2010,4,133.27
2010,5,102.25
2010,6,182.56
2010,7,187.18
2010,8,117.85
2010,9,85.5
2010,10,60.78
2010,11,20.47
2010,12,17.98
2011,1,21.08
2011,2,42.42
2011,3,94.37
2011,4,136.18
2011,5,180.14
2011,6,173.72
2011,7,131.78
2011,8,132.14
2011,9,104.58
2011,10,65.34
2011,11,37.28
2011,12,17.27
2012,1,20.93
2012,2,39.0
2012,3,86.17
2012,4,120.27
2012,5,165.1
2012,6,144.16
2012,7,156.31
2012,8,143.37
2012,9,105.05
2012,10,59.62
2012,11,22.15
2012,12,14.91
2013,1,17.99
2013,2,23.45
2013,3,69.49
2013,4,109.44
2013,5,124.86
2013,6,158.68
2013,7,177.99
2013,8,148.37
2013,9,76.34
2013,10,50.8
2013,11,20.77
2013,12,16.52
2014,1,19.81
2014,2,45.46
2014,3,89.88
2014,4,121.09
2014,5,136.89
2014,6,162.23
2014,7,176.45
2014,8,141.02
2014,9,93.89
2014,10,54.5
2014,11,25.02
2014,12,15.69
2015,1,18.14
2015,2,45.73
2015,3,77.87
2015,4,127.16
2015,5,155.17
2015,6,163.65
2015,7,168.12
2015,8,167.2
2015,9,97.88
2015,10,56.69
2015,11,24.75
2015,12,20.15
2016,1,15.89
2016,2,37.93
2016,3,65.39
2016,4,120.45
2016,5,182.58
2016,6,173.65
2016,7,151.21
2016,8,142.01
2016,9,117.23
2016,10,40.19
2016,11,25.73
2016,12,15.44
