year,month,H(h)_m
2005,1,89.93
2005,2,93.2
2005,3,146.43
2005,4,184.98
2005,5,210.64
2005,6,234.77
2005,7,254.12
2005,8,217.04
2005,9,172.4
2005,10,109.74
2005,11,69.39
2005,12,69.31
2006,1,67.44
2006,2,91.96
2006,3,139.68
2006,4,172.31
2006,5,219.02
2006,6,230.05
2006,7,239.59
2006,8,225.68
2006,9,159.1
2006,10,101.0
2006,11,62.7
2006,12,67.59
2007,1,64.81
2007,2,78.68
2007,3,147.45
2007,4,152.78
2007,5,198.25
2007,6,223.4
2007,7,253.89
2007,8,217.46
2007,9,166.0
2007,10,122.26
2007,11,90.28
2007,12,67.19
2008,1,70.97
2008,2,81.71
2008,3,150.08
2008,4,173.39
2008,5,169.61
2008,6,217.21
2008,7,249.76
2008,8,220.63
2008,9,158.93
2008,10,102.92
2008,11,80.1
2008,12,58.1
2009,1,63.59
2009,2,93.55
2009,3,153.07
2009,4,178.83
2009,5,226.92
2009,6,228.1
2009,7,256.61
2009,8,224.3
2009,9,159.37
2009,10,125.25
2009,11,77.96
2009,12,52.1
2010,1,60.98
2010,2,77.54
2010,3,127.95
2010,4,175.36
2010,5,211.37
2010,6,211.63
2010,7,247.82
2010,8,214.82
2010,9,164.51
2010,10,121.23
2010,11,74.15
2010,12,59.91
2011,1,69.17
2011,2,97.34
2011,3,121.51
2011,4,179.01
2011,5,209.9
2011,6,236.36
2011,7,254.37
2011,8,217.4
2011,9,172.49
2011,10,130.7
2011,11,66.21
2011,12,70.85
2012,1,82.98
2012,2,112.82
2012,3,153.91
2012,4,150.77
2012,5,219.73
2012,6,234.91
2012,7,258.6
2012,8,223.27
2012,9,157.83
2012,10,111.91
2012,11,64.92
2012,12,58.29
2013,1,67.04
2013,2,82.19
2013,3,108.86
2013,4,162.65
2013,5,200.51
2013,6,229.19
2013,7,245.44
2013,8,221.91
2013,9,166.48
2013,10,115.31
2013,11,77.54
2013,12,69.0
2014,1,60.56
2014,2,74.6
2014,3,138.53
2014,4,180.18
2014,5,221.33
2014,6,235.89
2014,7,246.36
2014,8,227.72
2014,9,158.92
2014,10,116.99
2014,11,71.06
2014,12,70.76
2015,1,81.48
2015,2,90.44
2015,3,136.62
2015,4,172.35
2015,5,229.45
2015,6,233.04
2015,7,248.11
2015,8,215.11
2015,9,163.58
2015,10,107.22
2015,11,82.33
2015,12,69.13
2016,1,45.67
2016,2,75.54
2016,3,117.75
2016,4,153.4
2016,5,190.9
2016,6,231.39
2016,7,240.79
2016,8,221.68
2016,9,160.99
2016,10,116.37
2016,11,70.42
2016,12,61.92
